census,obsvar,count,n_sp,n_records
3,0.221105528,813,22,40
4,0.303919598,928,26,52
5,0.496859296,996,36,75
6,0.48241206,990,33,80
7,0.627512563,852,48,115
8,0.702889447,729,48,135
9,0.872763819,218,48,208
10,1.121582915,885,45,219
11,1.174271357,355,47,292
12,2.144497487,584,57,607
13,1.856884422,734,46,436
14,1.38281407,949,51,258
15,1.457261307,839,55,301
16,1.023517588,909,54,192
17,0.960778894,812,53,181
18,1.14321608,718,50,230
19,0.959572864,621,49,197
20,0.630251256,81,60,146
21,0.31798995,0,35,88
22,0.510050251,912,46,90
23,0.343492462,278,34,73
24,0.203417085,20,25,48
25,0.255050251,124,31,57
26,0.24620603,530,20,49
27,0.341080402,745,24,65
28,0.385025126,809,26,74
29,0.352864322,811,24,66
30,0.324396985,464,24,67
31,0.490427136,886,26,91
32,0.470753769,779,20,92
33,0.480301508,60,22,122
34,0.610150754,186,26,146
35,0.55718593,359,27,132
36,0.635150754,648,28,139
37,0.574648241,543,24,127
38,0.68138191,998,35,109
39,0.624095477,876,28,119
40,0.346130653,874,14,68
41,0.390929648,942,21,71
42,0.356884422,236,22,86
43,0.353668342,809,14,82
44,0.36620603,962,14,75
45,0.290829146,693,14,65
46,0.391959799,970,17,80
47,0.358567839,918,15,77
48,0.300879397,718,15,65
49,0.276155779,946,14,53
50,0.191733668,751,12,37
51,0.234145729,937,16,41
52,0.194874372,591,21,38
53,0.201005025,534,18,40
54,0.218592965,77,21,50
55,0.181683417,409,21,37
56,0.235552764,703,19,45
57,0.361809045,196,30,80
58,0.248341709,783,23,46
59,0.275150754,400,23,57
60,0.225502513,496,22,45
61,0.698592965,847,35,186
63,1.124020101,827,49,292
64,1.014045226,233,45,279
65,0.963592965,46,42,293
66,0.718366834,114,34,197
67,0.881909548,156,48,250
68,1.113542714,730,37,291
69,0.980879397,849,45,269
70,0.968743719,759,33,238
71,0.970452261,896,35,224
72,0.731432161,122,40,183
73,1.034145729,401,40,329
74,1.028115578,860,47,209
75,0.645628141,255,35,148
76,0.449221106,644,30,89
77,0.48241206,447,29,100
78,0.366231156,809,29,68
79,0.411030151,736,24,79
80,0.272964824,484,19,56
81,0.288944724,70,23,70
82,0.459271357,903,28,89
83,0.359698492,79,15,122
84,0.42120603,283,25,106
85,0.429648241,99,23,190
86,0.500276382,198,18,167
87,0.561909548,382,24,194
88,0.56120603,47,25,208
89,0.518994975,1,17,188
90,0.626909548,18,26,193
91,0.624221106,864,19,134
92,0.585326633,391,26,148
93,0.679170854,930,24,137
94,0.628919598,988,25,113
95,0.629120603,597,33,131
96,0.413040201,721,20,81
97,0.350728643,639,16,71
98,0.357386935,577,17,76
99,0.387713568,366,16,87
100,0.386306533,761,13,85
101,0.403919598,864,17,82
102,0.372261307,938,15,72
103,0.386331658,979,21,68
104,0.24281407,920,12,44
105,0.271130653,962,18,47
106,0.184824121,441,16,38
107,0.25839196,912,16,46
108,0.188542714,708,16,36
109,0.235552764,756,18,45
110,0.230929648,474,25,47
111,0.538467337,992,33,87
112,0.508316583,957,34,87
113,0.399899497,683,30,78
114,0.568819095,332,41,131
115,1.298894472,982,41,252
116,0.618869347,940,34,113
117,1.094849246,312,53,255
118,1.695979899,548,54,410
119,1.44218593,830,51,399
120,1.877788945,897,64,392
121,0.778266332,679,35,165
122,0.827236181,591,42,174
123,0.640703518,208,41,150
124,0.25718593,130,22,58
125,0.502914573,119,29,128
126,0.289422111,438,28,59
127,0.241180905,352,17,51
128,0.289045226,194,22,64
129,0.308643216,915,23,54
130,0.260075377,978,19,43
131,0.277286432,390,25,58
132,0.310929648,951,18,55
133,0.277286432,411,22,58
134,0.188542714,721,18,36
135,0.266306533,850,21,49
136,0.174773869,181,19,38
137,0.237085427,917,20,42
138,0.151859296,93,12,34
139,0.233567839,472,22,48
140,0.427738693,942,27,76
141,0.272462312,24,18,66
142,0.434070352,847,18,82
143,0.688417085,673,26,151
144,0.56178392,742,19,121
145,0.499271357,389,21,123
146,0.56861809,925,21,113
147,0.542713568,977,18,100
148,0.383015075,971,18,66
149,0.256256281,702,18,49
150,0.254246231,983,15,41
151,0.280778894,651,18,55
152,0.239974874,925,12,43
153,0.222713568,645,11,44
154,0.203994975,583,13,41
155,0.155150754,72,15,35
156,0.119974874,266,8,25
157,0.161909548,294,14,34
158,0.237085427,906,21,42
159,0.195376884,968,15,32
160,0.383693467,720,35,73
161,0.248341709,205,21,54
162,0.413040201,619,33,81
163,0.502286432,712,36,97
164,0.373643216,626,30,73
165,0.778291457,980,43,132
166,0.711532663,759,40,141
167,1.012964824,988,49,178
168,0.932160804,930,37,190
169,1.032663317,972,42,250
170,0.905301508,829,42,213
171,1.427914573,643,49,413
172,1.67839196,826,41,440
173,0.983693467,116,42,293
174,0.979271357,864,35,205
175,0.502512563,581,43,100
176,0.467437186,857,35,86
177,0.462085427,240,39,103
178,0.400778894,136,37,93
179,0.285829146,53,26,68
180,0.369346734,745,37,70
181,0.222713568,552,25,44
182,0.164723618,18,26,38
183,0.192060302,861,22,34
184,0.183894472,94,24,41
185,0.293442211,373,30,61
186,0.277361809,53,17,69
187,0.499271357,658,18,123
188,0.530150754,497,25,130
189,0.758567839,868,30,203
190,0.924221106,991,30,196
191,0.664095477,866,31,237
192,0.635075377,216,30,218
193,0.707914573,900,34,245
194,0.934572864,930,35,198
195,0.952261307,926,25,190
196,0.965226131,991,33,172
197,0.557160804,635,24,115
198,0.718567839,719,32,151
199,0.781809045,998,34,122
200,0.579296482,996,23,88
201,0.451633166,473,24,95
202,0.60298995,986,29,101
203,0.484321608,981,25,82
204,0.415979899,996,21,62
205,0.268844221,820,19,50
206,0.271130653,918,21,47
207,0.285326633,257,19,62
208,0.336457286,990,23,53
209,0.397889447,999,28,58
210,0.409648241,993,31,64
211,0.462311558,953,33,80
212,0.389547739,987,26,64
213,0.557160804,599,34,115
214,0.462085427,181,42,103
215,0.850150754,883,47,158
216,0.646331658,936,28,126
217,0.669321608,481,40,181
218,1.123592965,302,39,309
219,0.910527638,30,46,269
220,1.312964824,39,53,412
221,1.268743719,91,54,348
222,1.767613065,601,47,443
223,2.112537688,992,50,411
224,1.313542714,271,59,311
225,1.210452261,437,57,268
226,0.783693467,694,52,153
227,0.541105528,594,41,108
228,1.197085427,931,48,234
229,0.741306533,395,52,164
230,0.378668342,486,40,77
231,0.508944724,279,38,112
232,0.369748744,348,30,78
233,0.355376884,56,28,84
234,0.451356784,475,31,94
235,0.491557789,395,33,106
236,0.657688442,753,34,132
237,0.669120603,749,37,137
238,0.668316583,534,39,151
239,0.605,541,32,139
240,0.699396985,864,35,142
241,0.648844221,845,40,124
242,0.66120603,927,31,122
243,0.878768844,975,35,155
244,0.418869347,901,21,77
245,0.655050251,873,31,127
246,0.377487437,623,23,76
247,0.743718593,999,30,120
248,0.5,985,21,90
249,0.47879397,940,33,88
250,0.461407035,804,26,94
251,0.469321608,803,32,89
252,0.436557789,961,23,75
253,0.376281407,850,31,68
254,0.358894472,995,26,54
255,0.230929648,396,25,47
256,0.361582915,999,26,47
