census,obsvar,count,n_sp,n_records
257,0.228115578,934,20,39
258,0.260075377,946,22,43
259,0.158291457,698,19,30
260,0.148517588,65,21,33
261,0.260075377,959,26,43
262,0.291231156,975,30,47
263,0.263718593,829,22,48
264,0.301482412,944,26,51
265,0.437286432,628,32,86
266,0.426507538,924,34,75
267,1.367236181,995,49,228
268,1.499899497,912,46,348
269,2.196758794,999,50,487
270,1.228919598,302,52,317
271,1.16580402,181,56,299
272,1.919497487,966,49,398
273,1.889422111,689,55,501
274,1.989924623,939,63,451
275,2.312663317,987,66,466
276,1.482386935,429,61,449
277,1.274346734,674,61,291
278,0.831658291,500,46,250
279,0.922110553,551,50,290
280,0.511934673,884,33,95
281,0.40781407,353,31,87
282,0.611834171,87,42,157
283,0.983316583,983,44,192
284,0.608643216,660,36,124
285,0.573844221,538,37,119
286,0.459798995,674,34,90
287,0.327613065,422,21,69
288,0.388341709,247,27,88
289,0.49959799,678,20,154
290,0.444623116,77,26,148
291,0.44419598,395,33,211
292,0.360904523,308,17,206
293,0.456055276,244,23,257
294,0.532663317,739,23,280
295,0.541482412,277,26,293
296,0.703517588,396,28,280
297,0.870125628,533,30,263
298,1.083316583,779,38,278
299,1.136080402,785,35,328
300,1.014974874,200,42,298
301,1.076356784,271,39,281
302,1.379673367,982,39,267
303,1.227914573,975,40,223
304,0.818492462,699,36,168
305,0.916180905,999,26,144
306,0.757763819,641,27,171
307,0.728015075,798,25,165
308,0.649145729,740,29,158
309,0.644824121,985,28,144
310,0.458065327,396,25,113
311,0.52540201,404,24,133
312,0.547110553,887,22,115
313,0.639170854,960,29,131
314,0.490854271,799,21,108
315,0.616683417,970,25,116
316,0.511934673,947,21,95
317,0.64361809,759,33,128
318,0.540201005,602,32,110
319,0.833944724,920,42,153
320,0.865301508,888,38,169
321,1.058894472,850,40,216
322,0.879497487,753,42,186
323,0.972763819,942,40,178
324,0.889221106,608,47,197
325,0.718693467,120,43,186
326,1.314170854,648,49,336
327,0.812462312,175,48,192
328,1.357763819,252,48,369
329,0.88,50,50,224
330,0.982512563,136,54,236
331,0.833266332,348,46,206
332,0.680502513,633,35,146
333,0.567211055,642,39,115
334,0.707135678,36,38,216
335,0.430929648,390,33,93
336,0.369748744,428,28,78
337,0.309045226,106,33,70
338,0.251231156,443,29,51
339,0.211055276,684,24,40
340,0.203994975,454,23,41
341,0.196884422,334,16,42
342,0.121005025,0,18,28
343,0.178668342,810,17,33
344,0.155175879,341,19,32
345,0.194874372,573,21,38
346,0.096457286,429,16,19
347,0.082311558,0,12,18
348,0.261080402,866,23,47
349,0.289422111,466,23,59
350,0.262914573,237,31,56
351,0.491834171,999,21,65
352,0.485201005,981,25,83
353,0.470251256,984,27,78
354,0.235552764,694,23,45
355,0.256256281,728,21,49
356,0.24361809,358,19,52
357,0.261080402,866,18,47
358,0.32459799,999,20,41
359,0.192060302,884,19,34
360,0.146331658,956,13,24
361,0.130025126,602,16,25
362,0.287336683,996,17,42
363,0.376256281,999,17,35
364,0.16080402,999,11,20
365,0.272964824,988,18,44
366,0.140075377,837,12,25
367,0.234145729,901,23,41
368,0.16120603,882,20,28
369,0.143819095,805,17,26
370,0.122386935,673,16,23
371,0.311557789,693,28,60
372,0.247135678,937,25,42
373,0.435778894,767,33,84
374,0.588844221,163,34,142
375,0.894371859,580,29,202
376,0.627110553,3,41,179
377,0.818869347,178,37,203
378,1.187035176,389,46,334
379,1.243994975,747,49,367
380,1.467738693,968,55,372
381,0.971959799,320,47,254
382,1.536457286,477,52,443
383,1.174849246,748,43,271
384,0.66080402,330,43,150
385,0.543115578,94,44,128
386,0.484321608,62,43,118
387,0.391331658,2,35,105
388,0.56861809,668,33,113
389,0.282512563,48,32,66
390,0.359698492,235,36,78
391,0.389447236,111,39,90
392,0.411959799,186,31,98
393,0.480376884,473,29,109
394,0.464095477,127,24,127
395,0.658266332,747,30,151
396,0.571633166,264,25,157
397,0.749346734,316,35,276
398,0.741306533,672,30,264
399,0.832135678,913,31,259
400,0.837788945,878,30,284
401,0.928241206,982,29,216
402,0.914572864,983,34,220
403,0.959170854,921,30,245
404,0.923994975,727,30,215
405,0.925025126,419,31,228
406,0.778291457,658,31,168
407,0.841180905,955,33,161
408,0.73758794,925,34,138
409,0.672738693,824,28,135
410,0.468115578,874,21,87
411,0.419070352,550,23,89
412,0.433140704,899,22,81
413,0.327613065,444,22,69
414,0.474145729,999,27,73
415,0.238291457,113,21,54
416,0.434949749,836,23,83
417,0.381909548,388,27,80
418,0.351758794,131,25,80
419,0.396356784,803,30,75
420,0.272964824,420,23,56
421,0.456658291,856,33,85
422,0.48138191,985,33,79
423,0.362788945,207,32,81
424,0.631557789,962,44,108
425,1.239974874,723,57,257
426,1.511959799,456,54,368
427,1.037085427,628,51,218
428,0.893567839,404,49,206
429,1.104899497,68,58,295
430,0.943492462,38,59,243
431,1.060276382,286,48,249
432,1.340477387,915,61,257
433,0.828919598,218,50,197
434,0.701005025,427,55,150
435,0.819698492,372,51,176
436,0.881507538,964,46,154
437,0.566432161,523,36,116
438,0.599396985,798,44,112
439,0.472336683,369,35,99
440,0.349246231,543,33,70
441,0.300879397,811,32,55
442,0.317562814,219,38,69
443,0.289422111,419,35,59
444,0.225904523,33,30,53
445,0.232763819,688,27,44
446,0.198492462,993,18,30
447,0.245603015,785,27,45
448,0.223517588,210,21,48
449,0.240979899,660,24,47
450,0.449020101,985,27,77
451,0.294246231,189,22,67
452,0.506934673,182,27,132
453,0.655678392,802,24,152
454,0.602386935,569,30,145
455,0.681005025,332,32,164
456,1.117562814,998,34,189
457,0.799899497,977,34,142
458,0.521984925,612,31,105
459,0.611030151,912,36,109
460,0.379798995,495,28,78
461,0.513542714,996,21,81
462,0.331658291,907,18,60
463,0.352160804,556,20,72
464,0.203994975,505,19,41
465,0.280778894,613,24,55
466,0.262914573,964,20,44
467,0.16861809,578,20,33
468,0.141683417,85,23,31
469,0.145125628,89,21,32
470,0.255175879,999,18,38
471,0.271130653,928,26,47
472,0.278366834,998,25,39
473,0.33879397,984,30,54
474,0.298994975,999,20,30
475,0.196884422,235,20,42
476,0.327537688,896,24,58
477,0.238693467,333,19,50
478,0.309145729,414,30,64
479,0.362211055,586,28,72
480,0.821884422,778,30,167
481,0.879170854,482,31,197
482,1.150125628,885,39,245
483,1.137286432,206,37,344
484,1.535175879,812,45,430
485,1.544497487,327,54,523
486,1.144824121,274,53,294
487,1.231758794,590,51,324
488,1.155778894,309,48,300
489,1.206005025,429,48,349
490,0.814070352,2,52,260
491,0.530150754,82,37,130
492,0.565929648,339,39,126
493,0.430552764,466,30,92
494,0.521984925,873,35,95
495,0.429648241,385,31,90
496,0.347336683,360,25,76
497,0.285326633,207,30,62
498,0.320979899,491,31,65
499,0.418492462,417,30,88
500,0.343492462,343,25,73
501,0.381909548,493,25,80
502,0.539673367,833,30,111
503,0.359773869,53,25,91
504,0.529422111,479,27,123
505,0.520100503,207,22,150
506,0.623015075,64,24,202
507,0.697889447,169,23,268
508,0.746507538,246,27,283
509,0.72298995,77,27,295
510,0.881909548,368,30,250
511,0.874773869,987,25,172
512,0.570829146,895,29,109
513,0.531432161,728,32,107
514,0.552738693,958,29,99
515,0.462311558,962,24,80
516,0.260678392,335,22,55
517,0.277286432,357,21,58
518,0.463417085,999,26,66
519,0.594949749,999,21,61
520,0.273768844,948,16,48
521,0.235552764,712,16,45
522,0.202110553,950,18,34
523,0.252864322,917,23,44
524,0.209824121,364,23,43
525,0.148517588,91,18,33
526,0.265226131,997,23,38
527,0.186834171,74,26,42
528,0.215452261,315,25,45
529,0.208015075,715,24,39
530,0.553165829,410,36,128
531,1.183417085,693,40,290
532,1.571633166,807,49,407
533,0.97879397,278,48,238
534,0.84821608,44,47,229
535,1.108643216,806,43,226
536,1.095452261,385,48,251
537,0.933442211,37,56,243
538,1.315351759,676,52,293
539,1.077160804,878,48,223
540,0.430552764,338,32,92
541,0.924623116,695,42,200
542,0.664924623,122,46,156
543,0.583316583,381,31,128
544,0.711055276,520,39,150
545,0.602914573,987,30,98
546,0.481507538,660,35,94
547,0.508316583,954,36,87
548,0.333442211,189,30,73
549,0.347336683,188,32,76
550,0.367437186,559,25,76
551,0.532035176,851,38,105
552,0.522613065,156,39,180
553,0.610954774,496,33,178
554,0.615050251,997,30,261
555,0.66080402,990,33,270
556,0.733668342,989,31,280
557,0.76379397,475,33,251
558,0.785025126,334,39,234
559,1.019070352,837,42,221
560,1.587839196,992,52,302
561,1.143316583,597,49,264
562,1.585427136,993,46,290
563,1.643994975,964,45,313
564,1.640175879,937,47,339
565,0.996884422,611,44,218
566,0.962311558,459,33,230
567,0.657688442,131,32,168
568,0.550251256,37,30,150
569,0.670954774,263,35,164
570,0.801507538,710,36,170
571,0.559572864,615,27,123
572,0.712939698,956,34,135
573,0.538291457,392,30,124
574,0.520502513,242,33,122
575,0.479899497,206,28,110
576,0.471959799,270,32,104
577,0.442110553,274,31,98
578,0.452160804,173,36,102
579,0.697386935,676,44,138
580,0.904296482,189,43,247
581,1.194371859,615,49,292
582,1.462914573,670,61,324
583,1.846733668,728,62,410
584,2.254246231,327,65,641
585,1.384422111,856,52,310
586,2.084798995,949,63,485
587,1.386306533,663,50,375
588,1.77879397,621,66,502
589,1.52540201,410,66,383
590,0.863417085,0,51,294
591,1.046834171,356,60,244
592,1.455678392,836,58,308
593,0.81718593,478,55,174
594,0.55638191,411,46,116
595,0.512462312,722,34,98
596,0.552763819,900,33,100
597,0.510050251,906,36,90
598,0.289422111,400,29,59
599,0.228241206,469,23,46
600,0.245125628,988,26,38
601,0.192562814,47,29,44
602,0.181884422,909,20,31
603,0.252864322,919,28,44
604,0.183894472,96,28,41
605,0.238291457,99,28,54
606,0.327613065,413,23,69
607,0.448015075,868,27,87
608,0.704623116,949,30,134
609,0.495251256,52,28,133
610,0.619874372,871,30,123
611,0.881909548,999,33,130
612,0.789723618,999,30,113
613,0.779673367,999,32,113
614,0.508316583,965,28,87
615,0.490854271,885,28,92
616,0.734070352,999,30,172
617,0.410829146,647,19,93
618,0.405125628,124,20,126
619,0.33919598,170,21,90
620,0.187914573,292,23,39
621,0.178668342,807,16,33
622,0.16178392,656,16,31
623,0.184020101,998,14,26
624,0.24419598,963,17,41
625,0.268442211,940,18,46
626,0.225502513,991,18,35
627,0.108442211,307,16,22
628,0.167613065,965,18,27
629,0.175251256,470,17,35
630,0.364221106,998,22,52
631,0.354170854,998,25,52
632,0.285326633,999,21,38
633,0.218190955,283,22,46
634,0.492462312,987,34,80
635,0.618869347,999,37,87
636,0.491834171,740,39,95
637,0.813969849,193,41,198
638,1.04298995,895,39,233
639,1.050226131,58,47,351
640,1.283919598,274,42,370
641,1.425100503,363,46,459
642,1.54160804,820,48,362
643,1.175854271,777,44,251
644,0.804798995,708,50,163
645,0.804020101,729,53,160
646,0.671331658,493,41,141
647,0.653266332,611,36,140
648,0.547839196,993,36,86
649,0.36781407,789,27,69
650,0.34281407,668,27,66
651,0.313969849,965,21,52
652,0.349246231,553,27,70
653,0.223517588,198,22,48
654,0.295251256,706,22,57
655,0.226105528,239,15,49
656,0.325527638,786,21,62
657,0.332763819,674,20,66
658,0.411155779,364,21,94
659,0.472361809,587,20,120
660,0.471457286,151,25,206
661,0.471733668,353,28,225
662,0.40040201,410,25,208
663,0.679798995,996,27,288
664,0.594572864,447,22,244
665,0.760904523,945,21,254
666,0.680376884,86,22,239
667,0.575653266,327,21,267
668,0.554371859,69,27,156
669,0.522613065,143,23,140
670,0.390929648,793,25,79
671,0.377663317,986,22,63
672,0.273768844,942,14,48
673,0.333442211,308,20,73
674,0.25718593,156,20,58
675,0.213467337,44,15,52
676,0.221884422,970,13,37
677,0.354748744,999,19,41
678,0.120603015,957,10,20
679,0.194874372,628,16,38
680,0.221105528,874,17,40
681,0.138190955,114,18,30
682,0.118492462,706,16,22
683,0.116180905,278,14,24
684,0.171834171,795,19,31
685,0.151155779,744,18,28
686,0.365427136,262,29,84
687,0.634773869,853,35,156
688,0.555879397,423,32,174
689,0.932160804,826,38,250
690,1.376256281,790,44,375
691,1.595477387,811,47,510
692,1.893869347,857,55,532
693,1.76821608,988,39,375
694,1.402110553,945,47,286
695,1.179798995,180,51,362
696,1.012562814,737,50,210
697,1.284396985,385,44,309
698,1.031934673,187,48,277
699,0.713341709,455,39,153
700,0.816482412,924,42,148
701,0.618693467,715,38,124
702,0.397085427,231,36,86
703,0.417688442,838,34,76
704,0.359296482,666,28,70
705,0.425728643,690,30,84
706,0.25839196,339,25,54
707,0.230929648,381,30,47
708,0.228241206,30,24,54
709,0.409949749,751,30,78
710,0.307311558,542,21,63
711,0.730753769,887,23,154
712,0.743693467,895,30,149
713,0.773768844,269,35,198
714,0.854271357,936,30,180
715,0.849346734,702,28,186
716,1.185301508,942,39,255
717,1.155376884,902,37,296
718,0.999974874,999,35,151
719,0.653266332,443,37,140
720,0.845201005,998,33,119
721,0.531758794,963,28,94
722,0.504422111,398,22,118
723,0.428542714,871,17,88
724,0.383819095,766,19,82
725,0.582688442,998,24,97
726,0.469120603,999,23,77
727,0.262914573,437,19,56
728,0.218065327,905,13,39
729,0.331030151,712,22,65
730,0.228743719,992,16,36
731,0.352160804,478,33,72
732,0.287336683,469,30,58
733,0.280778894,699,17,55
734,0.326005025,145,30,75
735,0.311959799,116,29,72
736,0.522613065,763,38,100
737,0.511658291,883,39,94
738,0.417864322,423,36,87
739,0.265226131,69,23,62
740,0.749648241,920,49,142
741,0.667110553,488,46,143
742,1.077286432,822,52,218
743,1.343819095,266,52,346
744,1.644623116,785,51,388
745,1.383894472,389,54,361
746,1.729623116,181,57,569
747,1.977386935,699,51,530
748,2.032060302,913,58,482
749,1.617462312,565,53,415
750,1.316582915,295,44,380
751,1.541306533,990,42,316
752,0.746708543,148,39,191
753,0.601984925,554,30,129
754,0.641180905,309,42,141
755,0.317361809,616,24,63
756,0.515351759,199,33,117
757,0.251231156,448,27,51
758,0.333442211,251,22,73
759,0.369346734,32,32,90
760,0.283015075,620,24,56
761,0.212663317,359,24,44
762,0.233567839,375,27,48
763,0.228241206,465,27,46
764,0.319095477,218,24,70
765,0.397763819,305,28,87
766,0.398969849,310,23,89
767,0.569623116,464,26,123
768,0.647613065,449,30,155
769,1.143316583,983,36,236
770,0.994070352,994,37,206
771,1.304924623,999,37,192
772,0.851859296,998,34,136
773,0.92741206,999,39,133
774,0.72540201,972,29,127
775,0.582512563,946,32,104
776,0.322713568,541,23,66
777,0.461909548,610,27,96
778,0.456658291,866,28,85
779,0.349246231,592,26,70
780,0.271356784,996,20,40
781,0.377663317,972,28,63
782,0.141809045,0,18,34
783,0.094447236,0,14,21
784,0.195351759,837,20,35
785,0.378668342,626,21,77
786,0.270728643,529,22,55
787,0.315477387,657,32,62
788,0.16178392,635,17,31
789,0.389447236,895,33,70
790,0.374974874,627,31,74
791,0.653040201,992,39,103
792,0.801507538,988,46,130
793,0.531758794,624,34,106
794,0.656884422,938,40,116
795,1.085427136,940,44,200
796,1.257261307,282,50,319
797,1.491834171,798,53,325
798,1.660201005,769,54,382
799,1.473140704,151,57,463
800,1.686030151,691,69,564
801,1.288417085,293,52,389
802,0.867311558,586,37,191
803,1.173366834,949,45,230
804,0.903894472,852,44,185
805,0.529422111,182,38,123
806,0.50241206,692,39,98
807,0.532437186,869,37,97
808,0.430552764,350,36,92
809,0.511658291,840,44,94
810,0.379396985,812,37,70
811,0.283015075,571,26,56
812,0.315477387,609,31,62
813,0.278492462,708,22,54
814,0.423090452,763,27,81
815,0.421482412,49,24,105
816,0.490351759,74,31,122
817,0.568442211,75,22,176
818,0.684522613,282,31,234
819,0.841180905,475,32,239
820,0.80241206,726,29,192
821,0.640703518,560,27,150
822,0.708517588,589,35,151
823,0.548718593,212,25,131
824,0.583894472,658,30,119
825,0.360778894,681,25,71
826,0.40241206,926,25,72
827,0.371859296,992,23,60
828,0.250628141,165,24,55
829,0.278894472,894,22,50
830,0.24361809,557,21,48
831,0.313969849,997,15,48
832,0.147512563,776,15,27
833,0.12459799,0,11,29
834,0.131055276,169,15,28
835,0.122386935,667,14,23
836,0.175276382,823,18,32
837,0.212160804,984,21,34
838,0.342110553,329,37,72
839,0.32741206,729,25,63
840,0.400979899,679,32,79
841,0.459798995,684,37,90
842,0.441984925,120,33,103
843,0.881909548,949,40,170
844,0.761708543,338,38,178
845,0.596884422,321,35,138
846,0.942211055,501,41,210
847,1.026105528,575,40,231
848,1.094246231,498,51,243
849,1.034773869,738,49,204
850,1.158768844,950,44,209
851,0.923994975,850,39,175
852,0.730050251,996,36,112
853,0.512160804,546,34,104
854,0.48821608,85,41,113
855,1.058894472,980,41,184
856,1.021080402,996,41,181
857,0.626231156,608,43,126
858,0.609447236,998,29,88
859,0.339673367,926,29,59
860,0.255653266,893,26,45
861,0.28620603,783,28,53
862,0.171633166,132,21,37
863,0.178668342,770,19,33
864,0.187914573,334,21,39
865,0.232763819,765,19,44
866,0.441582915,749,19,105
867,0.463919598,528,14,144
868,0.608643216,726,22,176
869,0.552763819,50,19,200
870,0.633944724,256,29,187
871,0.707135678,147,29,184
872,0.723592965,858,22,149
873,0.74281407,179,25,194
874,0.751658291,436,34,178
875,0.769748744,977,28,142
876,0.944497487,998,26,153
877,0.641984925,994,26,107
878,0.471457286,543,27,106
879,0.390351759,743,15,92
880,0.384698492,919,18,83
881,0.276984925,212,12,76
882,0.32160804,541,15,80
883,0.373643216,992,15,73
884,0.203417085,217,13,48
885,0.220879397,711,10,47
886,0.199773869,333,13,43
887,0.310527638,218,12,71
888,0.238291457,75,19,54
889,0.228241206,511,20,46
890,0.336457286,990,26,53
891,0.317361809,594,23,63
892,0.354547739,758,24,67
893,0.34281407,675,27,66
894,0.370829146,733,24,71
895,0.492361809,624,29,98
896,0.431532663,201,35,95
897,1.039974874,851,44,203
898,1.116683417,752,47,234
899,1.387713568,994,53,237
900,1.464095477,996,55,277
901,0.932160804,181,51,230
902,2.175251256,869,61,565
903,1.083015075,303,49,264
904,0.767437186,102,48,216
905,0.494447236,19,43,139
906,0.571256281,924,40,108
907,0.481180905,397,40,107
908,0.359698492,343,28,78
909,0.455879397,56,33,116
910,0.424899497,781,30,83
911,0.232763819,21,26,56
912,0.313542714,663,24,61
913,0.268844221,789,22,50
914,0.286407035,926,24,49
915,0.141683417,102,17,31
916,0.185301508,4,19,45
917,0.295879397,137,20,68
918,0.356180905,811,28,68
919,0.346834171,77,25,86
920,0.493442211,452,28,119
921,0.537788945,844,22,114
922,0.592964824,610,22,140
923,0.72361809,530,28,200
924,0.854271357,325,38,220
925,0.751256281,526,35,170
926,0.419070352,394,27,89
927,0.478165829,232,26,113
928,0.433944724,158,20,177
929,0.49638191,821,23,138
930,0.40379397,954,21,73
931,0.221105528,851,22,40
932,0.285201005,638,15,57
933,0.130025126,623,11,25
934,0.12741206,173,17,27
935,0.16178392,635,20,31
936,0.205,997,14,29
937,0.181884422,932,15,31
938,0.293065327,993,25,44
939,0.151859296,44,20,34
940,0.151155779,726,17,28
941,0.154748744,688,19,29
942,0.225025126,934,21,38
943,0.227035176,793,22,42
944,0.299095477,212,32,64
945,0.381909548,995,30,60
946,0.530150754,961,41,90
947,0.611834171,997,42,93
948,0.459798995,695,34,90
949,0.539472362,159,48,123
950,0.429120603,4,46,111
951,0.705125628,305,51,156
952,0.818467337,216,55,195
953,0.663316583,607,45,140
954,1.165728643,365,63,298
955,1.067110553,780,49,223
956,0.735276382,502,48,156
957,0.811834171,314,45,183
958,0.855376884,767,50,166
959,0.763819095,925,43,140
960,0.571834171,999,28,71
961,0.590929648,893,33,109
962,0.317562814,235,29,69
963,0.250628141,164,25,55
964,0.28138191,824,30,51
965,0.151733668,334,21,31
966,0.198492462,995,14,30
967,0.126231156,624,14,24
968,0.164798995,850,19,29
969,0.303919598,949,18,52
970,0.451356784,543,30,94
971,0.470753769,955,19,92
972,0.567236181,475,23,132
973,0.585703518,936,20,117
974,0.472361809,613,19,100
975,0.439698492,650,26,90
976,0.360778894,237,19,79
977,0.357763819,709,21,69
978,0.492462312,747,22,100
979,0.572864322,996,18,100
980,0.523718593,825,16,134
981,0.231130653,229,18,51
982,0.441984925,418,18,103
983,0.371231156,998,22,55
984,0.24419598,970,14,41
985,0.327537688,999,12,42
986,0.221884422,960,19,37
987,0.345628141,999,22,38
988,0.122386935,660,17,23
989,0.171834171,834,20,31
990,0.118492462,740,13,22
991,0.075477387,620,13,14
992,0.133768844,559,17,26
993,0.078165829,0,15,17
994,0.175276382,811,18,32
995,0.209824121,416,16,43
996,0.348844221,999,21,46
997,0.251030151,752,27,47
998,0.270125628,982,25,43
999,0.414849246,529,43,83
1000,0.476758794,914,38,85
