Latin	occur	Inter	Moist	Al	Ca	Fe	K	P	Zn	N	Moist^2	Al^2	Ca^2	Fe^2	K^2	P^2	Zn^2	N^2
Piper marginatum (Piperaceae)	3	-2.70453879236505	0.466285963063621	0.131542381032068	-0.24951243185186	0.0270337810447742	0.230050188876419	0.00916830918758828	0.14017032306655	0.0427407649902574	-0.657255645111942	-0.246289908190774	-0.107885095667603	-0.0719542424416935	0.0930446954133506	-0.0930258221638584	-0.116169691406156	-0.0253820863680635
Piper reticulatum (Piperaceae)	26	-0.303541493582352	-0.841249188265912	0.395483876536719	0.545161067823734	-0.106293933597895	0.553156044284069	1.15523976823646	0.187897483069166	0.0296080435424696	-0.404111623820132	-0.254134266726586	-0.222420971684345	-0.0167007676523723	0.0755322008878298	-0.371499913872612	-0.161532829496054	-0.0395825894210837
Abarema barbouriana (Fabaceae-mimosoideae)	15	-1.35925124516965	0.756021001234674	-0.0467233119594767	-0.883129746289388	-0.00820720869953345	-0.331500617299274	-1.45248631408835	0.141924992224538	0.0809690091652331	-0.710470661708616	-0.274471241113486	-0.127111486802186	0.169874675615846	0.03686260655288	-0.273760207951559	-0.116905556063399	-0.0266176868612854
Zygia dinizii (Fabaceae-mimosoideae)	6	-3.22675100436503	2.11225056738151	-0.0372193286272184	-0.161455015092404	-0.146153463842625	0.0661035811255649	-1.5697351811955	0.214766650139977	0.0428829574477705	-0.621906196800177	-0.256998361302936	-0.189412197960696	-0.103879451021212	-0.0260425795065592	-0.122993975391319	-0.123595048513028	-0.0284945450731406
Abarema macradenia (Fabaceae-mimosoideae)	5	-2.15728683686096	0.802603627388483	0.197750692036225	-0.392175352523788	-0.209213667026188	0.477565025159898	-0.042972077441478	0.134844641892049	0.0562657021244639	-0.775799934929456	-0.140263107134162	-0.156049331621134	-0.0963472519029109	0.1185767214673	-0.163459290517009	-0.138331327028394	-0.020329322606286
Cojoba rufescens (Fabaceae-mimosoideae)	19	-1.1080872244881	-0.0543413042924462	0.328494628181388	0.328875401424877	0.0846097000589019	-0.102607201595918	0.544310015252193	0.149832879713739	0.0759053376407304	-0.16992171125006	-0.198489480120175	0.0840012846764819	-0.097906703878582	-0.0313888811645318	0.0940465847711254	0.066792718928731	-0.036301880360448
Platymiscium pinnatum (Fabaceae-papilionoideae)	17	-0.386292023200064	1.40802032832033	-0.0696773601760374	0.162016864531731	-0.382331581227166	0.304149508507657	0.158185469794576	0.205102782069494	0.0673320535197978	-0.905486987746437	-0.203824698604556	-0.234610296243967	-0.0957243523002749	-0.0632229490651705	0.0200823890518	-0.122554578778772	-0.0219663883603633
Platypodium elegans (Fabaceae-papilionoideae)	13	-0.377219526695027	-0.0697786983613427	-0.447755825454814	-0.161237767041627	-0.205795796429445	-0.165050699277779	-0.202401141187349	0.124960477874709	0.0232128688151261	-0.871690234503874	-0.105943839091712	-0.279941137957119	-0.124064787152167	-0.0711114732630485	-0.552194085686535	-0.18086427851082	-0.00859713754049237
Pachira quinata (Malvaceae)	14	-1.18643383682802	-0.339971085566768	0.35125237965562	0.653264121493688	-0.0744530300063649	0.22616892921804	0.967663039225049	0.111793595161203	0.0567289314179303	-0.478203822229233	-0.29712946881946	-0.109669603039214	0.0661591771706994	-0.0856958595732225	-0.29207877735348	-0.19544183434559	-0.0327977025468968
Pachira sessilis (Malvaceae)	34	0.442367569396597	-1.05799395215001	-0.0742176804842108	-0.72173954063907	-0.24757675060707	0.0958575842333731	-1.43949310725961	0.210456543240782	0.0856802134362916	-0.135220562677609	-0.217193473702958	-0.0284315126486835	0.0277547443196218	-0.0379746109878489	-0.450712774143132	0.0604930543863499	-0.0209012156713832
Pogonopus exsertus (Rubiaceae)	3	-3.5696319822408	-0.713597608190719	0.153648305352162	0.309454703479751	-0.143710858778744	0.102003540668018	1.09740068534833	0.127341330222283	0.0494486022995603	-0.626877687926961	-0.240942640848566	-0.0842611518750207	-0.0814320055981937	-0.0103993864413871	-0.00254925226074826	-0.125203345855285	-0.0206232266949099
Posoqueria latifolia (Rubiaceae)	35	0.153162336994511	-0.0118551306609134	-0.128281875796399	0.155596555840621	-0.0842323846640991	0.195310857288571	1.24584590654372	0.139151876422605	0.0378135812714381	-0.452479032741022	-0.103638886055095	0.145501867806816	-0.0171697964277111	0.0873646552871517	-0.243254626038725	0.0188607194558854	-0.0195535866668663
Poulsenia armata (Moraceae)	35	1.31622123812221	1.37504888705291	0.00903384603582643	0.0594942286578595	-0.359117096293581	0.174050112805699	-0.253342299292656	0.204794370564322	0.0606477546669877	-0.764485772188513	-0.163019173822652	-0.342215885670156	-0.0335472760655038	0.0726776165586982	-0.214744174416068	-0.167149928329549	-0.0129502362103993
Pourouma bicolor (Urticaceae)	23	-0.0631505855760688	1.21214923347743	-0.381590051576125	-0.834549028019924	-0.309342227556997	-0.0145124774862206	-1.27889174603915	0.0876981374968488	0.0903431690725496	-0.239801898258996	-0.2140272276234	-0.158623711937657	-0.237168495337474	-0.0439048320641992	-0.428978863595244	-0.255905985724808	-0.0242141872858303
Pouteria buenaventurensis (Sapotaceae)	4	-4.39589784263905	1.73589415710024	-0.119187321956943	-0.465127151723053	-0.117857296414273	-0.0302642383356962	-1.09845679965149	0.114354762278588	0.0446475968553817	-0.220091998158245	-0.231436087556139	-0.134889900615068	0.0680290573024517	0.0343522372349252	-0.0479208406091185	-0.125144716551247	-0.0179216333760046
Pouteria calistophylla (Sapotaceae)	7	-3.78114462787052	2.22037835433563	-0.144147729435269	-0.220569007276962	-0.158508445387145	-0.00425247261958674	-1.27273087656551	0.211892961352327	0.052655746595591	-0.208564130532681	-0.263260549923584	-0.161135900824104	0.0429163542772503	0.0192002735002326	-0.147429480911969	-0.111352547635626	-0.0227087202123542
Pouteria campechiana (Sapotaceae)	11	-1.69613689203074	-1.66096347696647	-0.0891528097849141	0.233793563962566	-0.271699296232602	0.245531569772821	-0.308488404875494	0.0662892565198902	0.0785668635328224	-0.721660180115786	-0.287645426157649	-0.0173856282561311	-0.0288645553208351	-0.0201096700399806	0.0448645998147371	-0.172476407728523	-0.0257862761331199
Pouteria cuspidata (Sapotaceae)	6	-3.67734529412912	2.31664116303536	-0.00617945822293947	-0.312529581646426	-0.121551952319844	0.0451868795465434	-1.27103136819834	0.103917934116789	0.0382037382611512	-0.328097828149745	-0.228988098589205	-0.182450500933132	-0.16181254143461	-0.0266069988263686	-0.155734275672257	-0.146254034443023	-0.0258240557221601
Pouteria foveolata (Sapotaceae)	3	-3.62743930759403	1.29660433016873	-0.0280363528500622	0.0250772196524768	-0.194718787155888	0.0863248640360153	0.423627986969482	0.104960931924077	0.0651022738880403	0.0570518833024037	-0.209721385844401	-0.126034835103207	-0.12531779449446	-0.0600186193123459	-0.0306983463744949	-0.149365380415485	-0.0165978732450906
Pouteria fossicola (Sapotaceae)	9	-1.97962331114913	1.25644281008972	-0.158686745303108	-0.577867952679419	-0.452114368774972	0.367170820567452	-1.20712732810364	0.140509011057286	0.05436136974246	-0.4613637087776	-0.229973381477842	-0.00894258439356975	-0.0613396344139889	-0.0926429927597002	-0.22929173332178	-0.160983194107648	-0.0242877954178425
Pouteria glomerata (Sapotaceae)	3	-3.09701685768738	0.530323358121849	-0.020221967339516	0.456974243348408	-0.149137515365642	-0.0594482080341499	0.355597958825069	0.12142758702129	0.0531901390382691	-0.226982233364111	-0.233982274122905	-0.0512571338698427	-0.0893834231313485	-0.0613370535533963	-0.0329602093994027	-0.161739104591777	-0.0213355924412436
Pouteria leptopedicellata (Sapotaceae)	5	-3.42100937203819	2.18509077341342	0.12826224171037	-0.203537909478924	-0.163834525262901	0.118062782393822	-1.12520067145368	0.117661414448021	0.0441583008435939	-0.560970231566641	-0.215138872849848	-0.154167547898013	-0.0469320338771922	-0.0402191646253683	-0.205505721923689	-0.00906129067130711	-0.0291247154083826
Pouteria reticulata (Sapotaceae)	15	-0.441419882056311	1.96468499995366	0.226184770669358	0.262544689242265	-0.256365892262152	-0.0880678249575769	0.343662019198772	0.193890759562605	0.0594203962572977	-1.07295511177395	-0.180010914803125	-0.186422200392087	-0.104843906281108	-0.023091590168971	-0.336012371699685	-0.124917795160065	0.00300748938998229
Pouteria stipitata (Sapotaceae)	6	-2.038242640694	1.45380104463236	0.170691741236535	-0.679297186490182	-0.233547503985614	0.0545465005147976	0.329572589071677	0.0718086592416801	0.0865309940856369	-0.425590575094962	-0.23993928220533	-0.0794950300140546	-0.0509281002848295	0.0338330610619868	-0.371759802262436	-0.133117414909874	-0.0301369423670092
Pouteria torta (Sapotaceae)	11	-1.72703943587671	1.12860263177848	-0.474930361751627	-0.602007200960449	-0.178934527953522	-0.0296930447425934	-1.3553959355842	0.0440098959331265	0.0628162703784604	-0.360028767370815	-0.207239807055928	-0.218903041895524	-0.080908509561862	-0.023856207173481	-0.237330559699537	-0.100071010132591	-0.0268106400193978
Prioria copaifera (Fabaceae-caesalpinioideae)	6	-1.60035434653721	1.31570441530141	-0.0649957665719564	0.0969144461369167	-0.0989333386750588	0.07856288810837	-0.0264001309703264	0.121140207516925	0.0588187507764631	-0.950719668206933	-0.218871382460211	-0.211125403199957	-0.046357508897669	-0.0667615119875272	-0.388515153248905	-0.149531674986198	-0.0021831689168745
Prockia crucis (Salicaceae)	6	-2.9362706264382	-1.50482802177269	0.242775469159159	0.446010697610752	-0.0171677893595407	0.115933207998343	0.652754773429243	0.268476755777234	0.0387207389549343	-0.546369609972184	-0.283069082150833	-0.116199331695984	-0.0746809493923956	-0.0349032667353175	-0.211596024303212	0.079794631645991	-0.0228829906166439
Protium costaricense (Burseraceae)	10	-0.793405386081856	0.495980144114293	-0.451519613478486	-0.358784284878641	-0.227388715693126	0.052773846644472	-0.28723885231904	0.172361609150132	0.0624916253855933	-0.99591934118674	-0.12547511356414	-0.260063579877043	-0.0487903532918254	0.041906500113833	-0.522176337304334	-0.147528956106226	-0.0292957765027616
Protium glabrum (Burseraceae)	8	-2.12032760379483	1.76619972697268	0.32137506470277	-0.462420905956101	-0.187772564272038	-0.00407023371888473	-0.134776509823672	0.130207193782857	0.0258570047971598	-0.551799886804092	-0.193982976171378	0.0903171374134943	-0.177907589378714	-0.0687161826844384	-0.0589672904275934	-0.170144555066541	-0.0215752530053176
